1,RESSMB-7294,chen.liu,242,2018-08-20,0
2,ENGR-1986,chen.liu,242,2018-08-20,1
3,RESSMB-7303,chen.liu,242,2018-08-20,2
4,ENGR-2213,chen.liu,242,2018-08-20,3
5,RESSMB-7256,chen.liu,242,2018-08-20,4
6,RESSMB-7265,chen.liu,242,2018-08-20,5
7,LCI-2604,chen.liu,242,2018-08-20,6
8,ENGR-2186,chen.liu,242,2018-08-20,12
9,RESSMB-7241,chen.liu,242,2018-08-20,0
10,RESSMB-7312,chen.liu,242,2018-08-20,0
11,ENGR-2186,chen.liu,242,2018-08-21,0
12,LCI-2604,chen.liu,242,2018-08-21,0
13,RESSMB-7294,chen.liu,242,2018-08-21,0
14,BUILD-15134,chen.liu,242,2018-08-21,2
15,BUILD-15134,chen.liu,242,2018-08-22,0
16,RESSMB-7265,chen.liu,242,2018-08-22,0
17,BUILD-15134,chen.liu,242,2018-08-23,0
18,RESSMB-7256,chen.liu,242,2018-08-23,0
19,RESSMB-7265,chen.liu,242,2018-08-23,0
20,RESSMB-7294,chen.liu,242,2018-08-23,0
21,RESSMB-7303,chen.liu,242,2018-08-23,0
22,BUILD-15134,chen.liu,242,2018-08-24,0
23,RESSMB-7256,chen.liu,242,2018-08-24,0
24,RESSMB-7303,chen.liu,242,2018-08-24,0
25,BUILD-15592,chen.liu,242,2018-08-27,0
26,RESSMB-7265,chen.liu,242,2018-08-31,0
27,ENGR-2295,chen.liu,242,2018-08-31,24
28,RESSMB-7303,chen.liu,242,2018-09-04,0
29,BUILD-15134,chen.liu,242,2018-09-12,0
30,LCI-2604,chen.liu,242,2018-09-12,0
31,RESSMB-7333,chen.liu,243,2018-09-04,4
32,ENGR-2314,chen.liu,243,2018-09-04,6
33,ENGR-1809,chen.liu,243,2018-09-04,0
34,RESSMB-7241,chen.liu,243,2018-09-04,0
35,RESSMB-7333,chen.liu,243,2018-09-05,0
36,IO-955,chen.liu,243,2018-09-05,7
37,ENGR-2213,chen.liu,243,2018-09-07,3
38,ENGR-2213,chen.liu,243,2018-09-10,0
39,BUILD-16338,chen.liu,243,2018-09-10,0
40,ENGR-2314,chen.liu,243,2018-09-11,0
41,BUILD-16338,chen.liu,243,2018-09-11,0
42,BUILD-16339,chen.liu,243,2018-09-11,0
43,ENGR-2213,chen.liu,243,2018-09-12,0
44,ENGR-2314,chen.liu,243,2018-09-12,0
45,RESSMB-7333,chen.liu,243,2018-09-12,0
46,BUILD-16338,chen.liu,243,2018-09-12,0
47,BUILD-16339,chen.liu,243,2018-09-12,0
48,ENGR-2213,chen.liu,243,2018-09-13,0
49,IO-955,chen.liu,243,2018-09-13,0
50,RESSMB-7333,chen.liu,243,2018-09-13,0
51,ENGR-2314,chen.liu,243,2018-09-15,0
52,IO-955,chen.liu,243,2018-09-15,0
53,ENGR-1986,chen.liu,243,2018-09-15,1
54,IO-955,chen.liu,243,2018-09-16,0
55,ENGR-1986,chen.liu,244,2018-09-17,1
56,ENGR-2352,chen.liu,244,2018-09-17,3
57,ENGR-2353,chen.liu,244,2018-09-17,4
58,IO-877,chen.liu,244,2018-09-17,4
59,IO-945,chen.liu,244,2018-09-17,4
60,ENGR-2386,chen.liu,244,2018-09-17,6
61,ENGR-2373,chen.liu,244,2018-09-17,8
62,ENGR-2186,chen.liu,244,2018-09-17,12
63,ENGR-1809,chen.liu,244,2018-09-17,0
64,ENGR-2183,chen.liu,244,2018-09-17,0
65,ENGR-2329,chen.liu,244,2018-09-17,0
66,IO-857,chen.liu,244,2018-09-17,0
67,IO-860,chen.liu,244,2018-09-17,0
68,ENGR-2373,chen.liu,244,2018-09-18,0
69,ENGR-2386,chen.liu,244,2018-09-18,0
70,IO-877,chen.liu,244,2018-09-18,0
71,ENGR-2213,chen.liu,244,2018-09-18,3
72,ENGR-2389,chen.liu,244,2018-09-18,3
73,ENGR-1986,chen.liu,244,2018-09-19,0
74,ENGR-2373,chen.liu,244,2018-09-19,0
75,ENGR-2386,chen.liu,244,2018-09-19,0
76,ENGR-2353,chen.liu,244,2018-09-20,0
77,ENGR-2373,chen.liu,244,2018-09-20,0
78,IO-945,chen.liu,244,2018-09-20,0
79,ENGR-1986,chen.liu,244,2018-09-21,0
80,ENGR-2353,chen.liu,244,2018-09-21,0
81,ENGR-2373,chen.liu,244,2018-09-21,0
82,ENGR-2389,chen.liu,244,2018-09-21,0
83,IO-945,chen.liu,244,2018-09-21,0
84,ENGR-2389,chen.liu,244,2018-09-22,0
85,IO-877,chen.liu,244,2018-09-22,0
86,IO-945,chen.liu,244,2018-09-22,0
87,ENGR-2373,chen.liu,244,2018-09-24,0
88,IO-945,chen.liu,244,2018-09-24,0
89,ENGR-2352,chen.liu,244,2018-09-25,0
90,IO-877,chen.liu,244,2018-09-25,0
91,ENGR-1986,chen.liu,244,2018-09-26,0
92,ENGR-2352,chen.liu,244,2018-09-26,0
93,ENGR-2373,chen.liu,244,2018-09-26,0
94,IO-877,chen.liu,244,2018-09-26,0
95,ENGR-2409,chen.liu,244,2018-09-26,5
96,ENGR-1986,chen.liu,244,2018-09-27,0
97,ENGR-2186,chen.liu,244,2018-09-27,0
98,IO-877,chen.liu,244,2018-09-28,0
99,IO-945,chen.liu,244,2018-09-28,0
100,ENGR-2213,chen.liu,244,2018-09-29,0
101,ENGR-2373,chen.liu,244,2018-09-29,0
102,ENGR-2389,chen.liu,244,2018-09-29,0
103,ENGR-2186,chen.liu,244,2018-10-01,0
104,ENGR-2352,chen.liu,244,2018-10-01,0
105,ENGR-2353,chen.liu,244,2018-10-01,0
106,ENGR-2442,chen.liu,245,2018-10-01,3
107,PREDM-1732,chen.liu,245,2018-10-01,4
108,PREDM-1721,chen.liu,245,2018-10-01,5
109,BUILD-17103,chen.liu,245,2018-10-01,0
110,ENGR-2444,chen.liu,245,2018-10-01,0
111,IO-857,chen.liu,245,2018-10-01,0
112,ENGR-2442,chen.liu,245,2018-10-03,0
113,PREDM-1721,chen.liu,245,2018-10-03,0
114,PREDM-1732,chen.liu,245,2018-10-03,0
115,PREDM-1732,chen.liu,245,2018-10-04,0
116,PREDM-1721,chen.liu,245,2018-10-05,0
117,PREDM-1732,chen.liu,245,2018-10-05,0
118,PREDM-1721,chen.liu,245,2018-10-12,0
119,PREDM-1732,chen.liu,245,2018-10-12,0
120,EXC-15742,chen.liu,246,2018-10-16,5
121,EXC-15742,chen.liu,247,2018-10-29,5
122,BUILD-18489,chen.liu,247,2018-10-29,6
123,LCI-2746,chen.liu,247,2018-10-29,0
124,PREDM-1694,chen.liu,247,2018-10-29,0
125,ENGR-2462,chen.liu,247,2018-11-01,0
126,BUILD-18489,chen.liu,247,2018-11-05,0
127,BUILD-19137,chen.liu,247,2018-11-05,6
128,BUILD-18489,chen.liu,247,2018-11-06,0
129,BUILD-19137,chen.liu,247,2018-11-06,0
130,EXC-15742,chen.liu,247,2018-11-06,0
131,EXC-15742,chen.liu,247,2018-11-07,0
132,EXC-15742,chen.liu,247,2018-11-08,0
133,RESSMB-7257,henry.hom,242,2018-08-20,4
134,LCI-2603,henry.hom,242,2018-08-20,8
135,RESSMB-7312,henry.hom,242,2018-08-20,8
136,RESSMB-7314,henry.hom,242,2018-08-20,8
137,BUILD-15083,henry.hom,242,2018-08-20,16
